Site ID,Energy Consumption (kWh),Date
CCC1181,496.23,4/28/2020
CCC1181,443.21,4/29/2020
CCC1181,390,4/30/2020
CCC1181,383.91,05-01-2020
CCC1181,94.2,05-02-2020
CCC1181,116.56,05-03-2020
CCC1181,459.81,05-04-2020
CCC1181,474.83,05-05-2020
CCC1181,469.53,05-06-2020
CCC1181,504.44,05-07-2020
CCC1181,522.19,05-08-2020
CCC1181,89.49,05-09-2020
CCC1181,189.25,05-10-2020
CCC1181,529.74,05-11-2020
CCC1181,525.58,05-12-2020
CCC1181,442.97,5/13/2020
CCC1181,410.07,5/14/2020
CCC1181,419.56,5/15/2020
CCC1181,117.71,5/16/2020
CCC1181,173.25,5/17/2020
CCC1181,499.22,5/18/2020
CCC1181,642.74,5/19/2020
CCC1181,611.52,5/20/2020
CCC1181,566.55,5/21/2020
CCC1181,569.02,5/22/2020
CCC1181,126.12,5/23/2020
CCC1181,102.48,5/24/2020
CCC1181,166.33,5/25/2020
CCC1181,544.96,5/26/2020
CCC1181,628.34,5/27/2020
CCC1181,593.87,5/28/2020
CCC1181,506.15,5/29/2020
CCC1181,94.44,5/30/2020
CCC1181,90.62,5/31/2020
CCC1181,433.98,06-01-2020
CCC1181,486.75,06-02-2020
CCC1181,540.86,06-03-2020
CCC1181,604.84,06-04-2020
CCC1181,556.99,06-05-2020
CCC1181,81.43,06-06-2020
CCC1181,82.63,06-07-2020
CCC1181,523.74,06-08-2020
CCC1181,594.71,06-09-2020
CCC1181,602.49,06-10-2020
CCC1181,487.05,06-11-2020
CCC1181,450.7,06-12-2020
CCC1181,92.75,6/13/2020
CCC1181,88.19,6/14/2020
CCC1181,479.99,6/15/2020
CCC1181,478.08,6/16/2020
CCC1181,479.36,6/17/2020
CCC1181,553.6,6/18/2020
CCC1181,456.19,6/19/2020
CCC1181,96.57,6/20/2020
CCC1181,98.77,6/21/2020
CCC1181,428.21,6/22/2020
CCC1181,573.09,6/23/2020
CCC1181,499.97,6/24/2020
CCC1181,680.13,6/25/2020
CCC1181,511.61,6/26/2020
CCC1181,88.22,6/27/2020
CCC1181,82.71,6/28/2020
CCC1181,514.03,6/29/2020
CCC1181,613.56,6/30/2020
CCC1181,570.75,07-01-2020
CCC1181,510.69,07-02-2020
CCC1181,151.23,07-03-2020
CCC1181,98.66,07-04-2020
CCC1181,112.54,07-05-2020
CCC1181,576.11,07-06-2020
CCC1181,545.29,07-07-2020
CCC1181,711.4,07-08-2020
CCC1181,660.45,07-09-2020
CCC1181,617.53,07-10-2020
CCC1181,219.58,07-11-2020
CCC1181,150.27,07-12-2020
CCC1181,492.8,7/13/2020
CCC1181,499.95,7/14/2020
CCC1181,569.57,7/15/2020
CCC1181,525.45,7/16/2020
CCC1181,488.78,7/17/2020
CCC1181,111.77,7/18/2020
CCC1181,101.71,7/19/2020
CCC1181,583.09,7/20/2020
CCC1181,609.12,7/21/2020
CCC1181,628.66,7/22/2020
CCC1181,661.87,7/23/2020
CCC1181,518.32,7/24/2020
CCC1181,157.45,7/25/2020
CCC1181,108.09,7/26/2020
CCC1181,612.45,7/27/2020
CCC1181,615.69,7/28/2020
CCC1181,621.05,7/29/2020
CCC1181,564.88,7/30/2020
CCC1181,480.31,7/31/2020
CCC1181,92.93,08-01-2020
CCC1181,110.04,08-02-2020
CCC1181,522.52,08-03-2020
CCC1181,572.24,08-04-2020
CCC1181,616.87,08-05-2020
CCC1181,731.59,08-06-2020
CCC1181,591.65,08-07-2020
CCC1181,111.7,08-08-2020
CCC1181,209.36,08-09-2020
CCC1181,686.07,08-10-2020
CCC1181,570.86,08-11-2020
CCC1181,606.67,08-12-2020
CCC1181,567.32,8/13/2020
CCC1181,715.78,8/14/2020
CCC1181,244.72,8/15/2020
CCC1181,260.53,8/16/2020
CCC1181,753.09,8/17/2020
CCC1181,736.63,8/18/2020
CCC1181,790.66,8/19/2020
CCC1181,653.18,8/20/2020
CCC1181,581.3,8/21/2020
CCC1181,173.27,8/22/2020
CCC1181,115.81,8/23/2020
CCC1181,617.19,8/24/2020
CCC1181,604.62,8/25/2020
CCC1181,690.02,8/26/2020
CCC1181,625.47,8/27/2020
CCC1181,475.05,8/28/2020
CCC1181,248.09,8/29/2020
CCC1181,109.5,8/30/2020
CCC1181,562.12,8/31/2020
CCC1181,551.93,09-01-2020
CCC1181,444.41,09-02-2020
CCC1181,606.86,09-03-2020
CCC1181,599.02,09-04-2020
CCC1181,157.24,09-05-2020
CCC1181,135.99,09-06-2020
CCC1181,258.53,09-07-2020
CCC1181,632.49,09-08-2020
CCC1181,492.02,09-09-2020
CCC1181,544.7,09-10-2020
CCC1181,531.77,09-11-2020
CCC1181,95.49,09-12-2020
CCC1181,91.44,9/13/2020
CCC1181,619.54,9/14/2020
CCC1181,610.03,9/15/2020
CCC1181,519.26,9/16/2020
CCC1181,620.01,9/17/2020
CCC1181,492.66,9/18/2020
CCC1181,161.2,9/19/2020
CCC1181,95.5,9/20/2020
CCC1181,469.38,9/21/2020
CCC1181,553.4,9/22/2020
CCC1181,609.72,9/23/2020
CCC1181,574.2,9/24/2020
CCC1181,551.9,9/25/2020
CCC1181,92.99,9/26/2020
CCC1181,96.99,9/27/2020
CCC1181,703.48,9/28/2020
CCC1181,664.34,9/29/2020
CCC1181,565.02,9/30/2020
CCC1181,581.8,10-01-2020
CCC1181,555.52,10-02-2020
CCC1181,232.33,10-03-2020
CCC1181,149.75,10-04-2020
CCC1181,498.54,10-05-2020
CCC1181,546.18,10-06-2020
CCC1181,692.45,10-07-2020
CCC1181,600.67,10-08-2020
CCC1181,490.02,10-09-2020
CCC1181,99.55,10-10-2020
CCC1181,146.41,10-11-2020
CCC1181,509.19,10-12-2020
CCC1181,514.48,10/13/2020
CCC1181,634.16,10/14/2020
CCC1181,561.37,10/15/2020
CCC1181,522.96,10/16/2020
CCC1181,91.11,10/17/2020
CCC1181,185.56,10/18/2020
CCC1181,520.55,10/19/2020
CCC1181,624.91,10/20/2020
CCC1181,539.81,10/21/2020
CCC1181,515.4,10/22/2020
CCC1181,483.5,10/23/2020
CCC1181,86.27,10/24/2020
CCC1181,113.2,10/25/2020
CCC1181,477.21,10/26/2020
CCC1181,526.4,10/27/2020
CCC1181,501.59,10/28/2020
CCC1181,583.77,10/29/2020
CCC1181,477.39,10/30/2020
CCC1181,144.11,10/31/2020
CCC1181,99.13,11-01-2020
CCC1181,457,11-02-2020
CCC1181,488.58,11-03-2020
CCC1181,544.71,11-04-2020
CCC1181,602.43,11-05-2020
CCC1181,483.21,11-06-2020
CCC1181,90.4,11-07-2020
CCC1181,92.65,11-08-2020
CCC1181,641.01,11-09-2020
CCC1181,597.97,11-10-2020
CCC1181,637.13,11-11-2020
CCC1181,621.33,11-12-2020
CCC1181,515.13,11/13/2020
CCC1181,102.8,11/14/2020
CCC1181,267.17,11/15/2020
CCC1181,719.51,11/16/2020
CCC1181,669.49,11/17/2020
CCC1181,636.36,11/18/2020
CCC1181,618.38,11/19/2020
CCC1181,38.27,11/20/2020
,,11-01-2019
,,11-02-2019
,,11-03-2019
,,11-04-2019
,,11-05-2019
,,11-06-2019
,,11-07-2019
,,11-08-2019
,,11-09-2019
,,11-10-2019
,,11-11-2019
,,11-12-2019
,,11/13/2019
,,11/14/2019
,,11/15/2019
,,11/16/2019
,,11/17/2019
,,11/18/2019
,,11/19/2019
,,11/20/2019
,,11/21/2019
,,11/22/2019
,,11/23/2019
,,11/24/2019
,,11/25/2019
,,11/26/2019
,,11/27/2019
,,11/28/2019
,,11/29/2019
,,11/30/2019
,,12-01-2019
,,12-02-2019
,,12-03-2019
,,12-04-2019
,,12-05-2019
,,12-06-2019
,,12-07-2019
,,12-08-2019
,,12-09-2019
,,12-10-2019
,,12-11-2019
,,12-12-2019
,,12/13/2019
,,12/14/2019
,,12/15/2019
,,12/16/2019
,,12/17/2019
,,12/18/2019
,,12/19/2019
,,12/20/2019
,,12/21/2019
,,12/22/2019
,,12/23/2019
,,12/24/2019
,,12/25/2019
,,12/26/2019
,,12/27/2019
,,12/28/2019
,,12/29/2019
,,12/30/2019
,,12/31/2019
,,01-01-2020
,,01-02-2020
,,01-03-2020
,,01-04-2020
,,01-05-2020
,,01-06-2020
,,01-07-2020
CCC1150,264.03,01-08-2020
CCC1150,300.16,01-09-2020
CCC1150,314.15,01-10-2020
CCC1150,62.51,01-11-2020
CCC1150,66.74,01-12-2020
CCC1150,327.97,1/13/2020
CCC1150,300.86,1/14/2020
CCC1150,324.02,1/15/2020
CCC1150,350.18,1/16/2020
CCC1150,308.27,1/17/2020
CCC1150,61.48,1/18/2020
CCC1150,58.79,1/19/2020
CCC1150,257.46,1/20/2020
CCC1150,330.12,1/21/2020
CCC1150,310.25,1/22/2020
CCC1150,302.69,1/23/2020
CCC1150,327.83,1/24/2020
CCC1150,60.6,1/25/2020
CCC1150,59.97,1/26/2020
